Client Name,Code
Government Pension Fund Global,RELIANCE
Government Of Singapore,HDFC Bank
Goldman Sachs India Limited,TCS
Smallcap World Fund Inc,ICICIBANK
Abu Dhabi Investment Authority,INFY
Vanguard Fund,HINDUNILVR
Massachusetts Institute Of Technology,BHARTIARTL
Nomura India Investment Fund Mother Fund,ITC
Malabar Investments,SBIN
Amansa Holdings Private Limited,LICI
Morgan Stanley Asia (Singapore) Pte.,LT
Stichting Depositary Apg Emerging Markets Equity Pool,BAJFINANCE
Canara Robeco Emerging Equities,HCLTECH
Elara India Opportunities Fund Limited,KOTAKBANK
Nomura Singapore Limited,AXISBANK
New World Fund Inc,ASIANPAINT
Baron Emerging Markets Fund,TITAN
India Capital Fund Limited,ADANIENT
Pi Opportunities Fund I,MARUTI
Hsbc Global Investment Funds,ULTRACEMCO
Matthews India Fund,SUNPHARMA
Bridge India Fund,NTPC
Eastspring Investments India Infrastructure Equity Open Limi,BAJAJFINSV
Lts Investment Fund Ltd,DMART
Steadview Capital Mauritius Limited,TATAMOTORS
Cresta Fund Ltd,ONGC
Nalanda India Fund Limited,NESTLEIND
Hypnos Fund Limited,ADANIGREEN
East Bridge Capital Master Fund Limited,WIPRO
Europacific Growth Fund,COALINDIA
Idfc Sterling Equity Fund,ADANIPORTS
Elm Park Fund Limited,POWERGRID
Copthall Mauritius Investment Limited,JSWSTEEL
Acacia Institutional Partners Lp,M&M
Eriska Investment Fund Ltd,ADANIPOWER
Apms Investment Fund Ltd,BAJAJ-AUTO
International Finance Corporation,HAL
Antara India Evergreen Fund Ltd,LTIM
Premier Investment Fund Limited,IOC
India Max Investment Fund Limited,DLF
Ares Diversified,TATASTEEL
Franklin Templeton Investment Funds,VBL
Fidelity Puritan Trust,JIOFIN
Albula Investment Fund Ltd,SBILIFE
Acacia Conservation Fund Lp,SIEMENS
Lotus Global Investments Ltd,GRASIM
Valiant Mauritius Partners Offshore Limited,HDFCLIFE
Sequoia,HINDALCO
,PIDILITIND
,BEL
,HINDZINC
,IRFC
,BRITANNIA
,PFC
,INDUSINDBK
,TECHM
,BANKBARODA
,ADANIENSOL
,GODREJCP
,INDIGO
,EICHERMOT
,RECLTD
,ATGL
,TRENT
,ZOMATO
,GAIL
,TATAPOWER
,CHOLAFIN
,PNB
,DIVISLAB
,AMBUJACEM
,SHREECEM
,TATACONSUM
,CIPLA
,ABB
,DABUR
,LODHA
,BPCL
,DRREDDY
,TVSMOTOR
,VEDL
,UNIONBANK
